,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"(0, 10)","(1, 13)","(2, 1)","(3, 13)","(4, 2)","(5, 1)","(6, 3)","(7, 67)","(8, 5)","(9, 1)","(10, 8)","(11, 1)","(12, 14)","(13, 3)","(14, 4)","(15, 2)","(16, 8)",,,,
1,"(4, 5)","(6, 1)","(7, 61)","(10, 4)","(15, 2)","(17, 1)",,,,,,,,,,,,,,,
2,"(4, 12)","(6, 1)","(7, 11)","(10, 15)","(13, 1)","(15, 2)","(16, 1)","(17, 4)","(18, 1)","(19, 1)","(20, 3)",,,,,,,,,,
3,"(0, 1)","(7, 1)","(10, 8)","(11, 1)","(12, 25)","(13, 1)","(14, 1)","(17, 1)","(20, 1)","(21, 1)",,,,,,,,,,,
4,"(4, 2)","(6, 2)","(7, 20)","(10, 20)","(12, 55)","(13, 4)","(17, 9)","(20, 1)",,,,,,,,,,,,,
5,"(4, 1)","(6, 6)","(7, 1)","(10, 7)","(12, 1)","(20, 1)",,,,,,,,,,,,,,,
6,"(0, 1)","(4, 2)","(6, 1)","(7, 5)","(10, 11)","(12, 30)","(17, 6)","(22, 11)",,,,,,,,,,,,,
7,"(4, 5)","(7, 12)","(10, 16)","(12, 1)","(13, 1)","(17, 1)","(23, 1)",,,,,,,,,,,,,,
8,"(4, 2)","(7, 3)","(10, 1)","(12, 29)","(13, 2)","(17, 2)","(21, 1)","(24, 1)","(25, 1)","(26, 1)",,,,,,,,,,,
9,"(0, 1)","(4, 1)","(7, 3)","(10, 4)","(12, 13)","(14, 2)","(17, 1)",,,,,,,,,,,,,,
10,"(3, 1)","(6, 1)","(7, 20)","(10, 11)","(13, 1)","(14, 1)","(17, 9)","(20, 5)","(21, 2)","(27, 1)","(28, 1)","(29, 2)",,,,,,,,,
11,"(6, 7)",,,,,,,,,,,,,,,,,,,,
12,"(1, 1)","(4, 1)","(5, 3)","(6, 4)","(7, 1)","(10, 4)","(12, 2)","(16, 1)","(21, 2)","(30, 2)","(31, 6)",,,,,,,,,,
13,"(0, 1)","(1, 1)","(4, 4)","(5, 2)","(6, 9)","(7, 57)","(10, 15)","(12, 3)","(13, 4)","(17, 3)","(19, 33)","(20, 5)","(21, 1)","(32, 1)","(33, 1)","(34, 1)",,,,,
