,User,Followers
0,KennedyRichard,[]
1,rsilveirafh,[]
2,felipealima,[]
3,AJS99,[]
4,pedrovds,[]
5,BrielMachado,[]
6,felipechaulet,[]
7,fcsacin,[]
8,widevis,[]
9,pugpe,[]
10,maiardm,[]
11,bvlucena,[]
12,phslfo,[]
13,sbarza,[]
14,netomagalhaes,[]
15,rhokrecife,[]
16,wagnerleite,[]
17,thzlima,[]
18,lucianacampello,[]
19,vrolim,[]
20,viisar,[]
21,rogeraraujo90,[]
22,esdraslc,[]
23,leogalego,[]
24,agenciabynnes,[]
25,inloco,[]
26,tandonwalia,[]
27,edulify,[]
28,Ruh1997,[]
29,EduardoSouzaRocha,[]
30,MungangaCriativa,[]
31,joaovictorgodoy,[]
32,MarynaDiogenes,[]
33,alqlima,[]
34,rodrigoaccountaccenture,[]
35,JH-Pacheco,[]
36,almagno,[]
37,taghunt,[]
38,dojodocirculo,[]
39,mauriciocarvalho,[]
40,brnmilk,[]
41,ricaomoura,[]
42,lukscmd,[]
43,carlaosap,[]
44,DanDas3,[]
45,LukPOD1,[]
46,thomascristanis,[]
47,Rdgdemelo,[]
48,wfraga,[]
49,vintasoftware,[]
50,spgroup,[]
51,davicruzaguiar,[]
52,if1001,[]
53,ajog,[]
54,maratonando,[]
55,NascimentoSilva,[]
56,filipehsilva,[]
57,rodrigoosant,[]
58,DjalmaFilho-UFPE,[]
59,gabiaf,[]
60,sabrinagmcruz,[]
61,fdinizt,[]
62,edudh,[]
63,NegreirosBros,[]
64,vsguedes,[]
65,flavioabarbosa,[]
66,Neostromo,[]
67,adsonxzx,[]
68,eliabejnr,[]
69,gustavoAlves97,[]
70,rafaelaamaral,[]
71,DevProjBR,[]
72,safaristudio,[]
73,pedroeducandus,[]
74,feliperodolfo,[]
75,valmirgomes,[]
76,Viniciusmlira,[]
77,ReCINhub,[]
78,ClaytonRocha,[]
79,Allysonx,[]
80,assertlab,[]
81,heldermccartney,[]
82,lucascambuim,[]
83,thiagolins,[]
84,ismaeljr,[]
85,leandrorss,[]
86,PauloFBCavalcanti,[]
87,brenocesar83,[]
88,renatoadmrede,[]
89,UmbertoB,[]
90,djfsoares,[]
91,filipe-marques-souza,[]
92,stapemusic-dev,[]
93,magalhaes-christiano,[]
94,edunjr,[]
95,robsonribeiros,[]
96,ThiagoAquino,[]
97,nilesdsjr,[]
98,srmq,[]
99,pitangagile,[]
100,manuttis,[]
101,araujokenedy,[]
102,LucianoMauro,[]
103,ThiagoJota,[]
104,felipeaqueiroz,[]
105,allsilva,[]
106,ignispider,[]
107,svelhof,[]
108,fernandalandimOgilvy,[]
109,LucasMattoso,[]
110,LouisianaQuinino,[]
111,DkMasTer60,[]
112,rayanagoncalves,[]
113,avilasolucoes,[]
114,yullegustavo,[]
115,sandromendes,[]
116,alesson-delmiro,[]
117,danielcaruaru,[]
118,marciorecife,[]
119,Strauch87,[]
120,refreshg0d,[]
121,adson1990,[]
122,rgm2cin,[]
123,JoasLemos,[]
124,HMCLDevs,[]
125,manutis,[]
126,vanessamaartins,[]
127,ProjetoPoo2,[]
128,rwilker,[]
129,lerao,[]
130,tvmsouza,[]
131,Jonatasgonzaga,[]
132,VictorManoel,[]
133,BFalconieri,[]
134,NetherDrk,[]
135,thalesrodrigo,[]
136,camilaodsouza,[]
137,stapemusic,[]
138,gustavor-souza,[]
139,bioinfognmk,[]
140,thiagolvlsantos,[]
141,nti-ufpe,[]
142,edulify2,[]
143,DaviBarros,[]
144,Mangue-Tecnologia,[]
145,4qu3l3c4r4,[]
146,davicosta99,[]
147,arthurmenezesb,[]
148,jcsn2,[]
149,GrupoTangram,[]
150,rpss2,[]
151,rafaelbeco,[]
152,HenryLimaBR,[]
153,deymoraes,[]
154,valdenia,[]
155,rodrigoogilvy,[]
156,felipeeelyra,[]
157,allanjsouza,[]
158,CaioNeves,[]
159,JuPerazzo,[]
160,henriquedouglas22,[]
161,apsinformatica,[]
162,MarianaVCCosta,[]
163,fritzenxd,[]
164,kms3,[]
165,pzoliveira,[]
166,tiagohms,[]
167,subtitle-master,[]
168,gilmarvitor,[]
169,upmedsistemas,[]
170,celismac,[]
171,TrilhaZero,[]
172,pedro-machado-manhaes-de-castro,[]
173,LeonardoLeite,[]
174,CeLsOlOpEs,[]
175,ytpessoa,[]
176,zaiin,[]
177,UranusII,[]
178,talita-albu,[]
179,H3yF3n1x,[]
180,Obthurel,[]
181,broguest,[]
182,rafaelpimentel,[]
183,beneditomacedo,[]
184,LucasGStark,[]
185,juliofsneto,[]
186,augustoguima,[]
187,pvictorcaval,[]
188,revistazena,[]
189,brmedeiros,[]
190,AlexMedeirosDev,[]
191,tantodom,['marknemesis']
192,phenrique0206,[]
193,rarrafael,[]
194,concrete-aecio-barreto-junior,[]
195,felipehmsilveira,[]
196,sfribeiro,[]
197,tangerinalab,[]
198,blendaguedes,[]
199,fdavidcunha,[]
200,kunkanon,[]
201,guilherme77,[]
202,jrobertojunior,[]
203,Jm-Correia,[]
204,wsena,[]
205,JacopoPi,[]
206,herlisson,[]
207,literalsoftware,[]
208,enobrega,[]
209,sky-on,[]
210,alexsandrogc,[]
211,montenegrorabello,[]
212,sidneyn,[]
213,atpessoa,[]
214,elviscastro,[]
215,plubit,[]
216,cesarfranca,[]
217,edipoalex,[]
218,yurialb,[]
219,Sauroo,[]
220,robsonescobar,[]
221,ProjetosIFPE,[]
222,danylocampos,[]
223,tiagollalmeida,[]
224,marceloberenguer,[]
225,hilariopiocomercial,[]
226,CarlosCBF,[]
227,ecdj,[]
228,Tekabout,[]
229,pjishimaru,[]
230,GleibsonCarlos,[]
231,Agilhub,[]
232,LucsFreitas,[]
233,sites-em-recife,[]
234,ehureka,[]
235,LookMobile,[]
236,camillotargas,[]
237,anderson-rafael,[]
238,niesio,[]
239,caioximenes,[]
240,carlosbrandao,[]
241,petrusz1,[]
242,victorpio,[]
243,rrxs,[]
244,anajuriti,[]
245,AndreRBrandt,[]
246,ghmarinho,[]
247,rafaelnascimento96,[]
248,CESARBR,[]
249,scadete,[]
250,Flavio13Lins,[]
251,augustovs,[]
252,riquesena,[]
253,mgrtecnologia,[]
254,NivSoft,[]
255,XARXTeam,[]
256,felipejm,[]
257,ErlyAquino,[]
258,jean-rnascimento,[]
259,lostico,[]
260,joaoaab,[]
261,RodrigoN4,[]
262,pocshop,[]
263,DeboraGouveia,[]
264,edencoelho,[]
265,marianeaguiar,[]
266,grpires,[]
267,jsmochin,[]
