,User,Followers
0,absilva,['vrcca']
1,itamarsilva,['esdrascavalcs']
2,apfmiranda,['KevinHock']
3,ess2,['caroolpmelo']
4,diegotsouza83,['iagobelo']
5,almagnosolucoes,['technologiclee']
6,josenetome,['Ansif']
7,zLimaa,['marknemesis']
8,andalvalmeida,['lucasbiagini']
9,gan640,['t0rr3sp3dr0']
10,altemberg,['felladrin']
11,denisreis,['janieltec']
12,LABCEUS,['chicosimoes']
13,lfcdsg88,['armindoff']
14,flaviohmaia,['doster00']
15,lflucasferreira,['MichalPaszkiewicz']
16,brunohoppe,['celiobj']
17,renatalourena,['jfelipefilho']
18,igoleo,['omailson']
19,mateus-nascimento,['jotapes26']
20,larislav,['lubarinobr']
21,ricardovasc,['fernandofragoso']
22,klaytondeoliveira,['gusshmelo']
23,fareias,"['alegauss', 'pragmaticivan']"
24,matheusqfs,['atailton']
25,wlcosta,['mayrarabelo']
26,eratsu,['gpedro']
27,AdoniasBarros,['enzofurlan']
28,krixapolinario,['andreffcastro']
29,ioram7,['dpcavalcanti']
30,ricardorobson,['DeyvsonL']
31,sofiagalvao,['janvajda']
32,andreporto,['marknemesis']
33,charles-alves,['pedrohenriquelima']
34,NthlLima,['rleaoinfo']
35,vitorcruz8621,['VitorCruz8621nogordio']
36,RodrigoRodrigues7,['luhanlacerda']
37,brunobpb,['albinoneto']
38,diogoan,['embs']
39,hrmd,['EstelaDNunes']
40,peedrogabriel,['thiago123789']
41,pcosv,['msb55']
42,arthur-rizzo,['daniloaf']
43,julianophp,['ivesbrito']
44,MartinsMateus,['juniorHarper']
45,cleytonfar,['rubslopes']
46,FlavioCastroFilho,['ErickSimoes']
47,uillaneduardo,['marknemesis']
48,WallaceRocha,['ferreiralisson']
49,brunofalc,['atailton']
50,lrsilva,['japyassu']
51,Tiagoemerenciano,['wellmotta']
52,walfredosa,['KevinHock']
53,rcursino,['gmotta']
54,hmilena,['LucasGabrielSI']
55,igorhlucenaa,['Netuxo']
56,tiagonog,['mguilhermetavares']
57,ricardoebbers,['GeicyaneC']
58,JamessonCheron,['Uirado']
59,tuliocrr,['albertonecosta']
60,joaopaulogf,['glm97']
61,adozrocha,['guiocavalcanti']
62,caioamorim031,['lucasRafaell95']
63,TCezarRod,['AlTavares']
64,marcoscardoso,['Richardjohnson1']
65,empacto,['denisekroy']
66,brunoeee,['rodrygomf']
67,ebl4,['horaciojcfilho']
68,reforcomestrado2015,['marknemesis']
69,evandroabreu,['evinw']
70,hugosteixeira,['leuthier']
71,angelamcosta,['gholakemohit']
72,rodrigomuribec,['embs']
73,iurylira,['reynaldops']
74,Fabio-Lins,['WgCarlos']
75,mattvie,['higofreitas12']
76,HerlonNascimento,['mishin']
77,dolalima,['fchicout']
78,KauanRodrigues,['Crypttus']
79,cassiorsfreitas,['brunocasanova']
80,andreguigo,['opengiineer']
81,iatj,['krixapolinario']
82,andreleitao,['karlafalcao']
83,victor-cortez,['gabrielSchneider100']
84,valongueiro,['KevinHock']
85,shoesthe6,['Fab2295']
86,DoodleWeb,['marknemesis']
87,jbjj,['cauannelinhares']
88,dofobatista,['nathalyas']
89,rodrigoadamski,['jonasdeyvid']
90,cirg-upe,['chmstimoteo']
91,AdrianoDayvson,['rafaelCMoura']
92,haroldogondim,['Vitagliano']
93,FernandoRLCruz,['fabiorez']
94,hugonmelo,['diogoan']
95,islanilton,['Drakmord2']
96,sccrn,['hnka']
97,ricardo7cordas,['aumaco']
98,feliperod,['arthuralvim']
99,fdsadat,['omailson']
100,brenodvs,['CarlosGuimaraes']
101,igorsimoes,['aldiransantos']
102,sjcleao,['marcialvieira']
103,dmfilho,['matheusmacio']
104,cleniomendes,['andrebuarque']
105,BrunoBA,['lucassklp']
106,wbgalvao,['geocarvalho']
107,douglasbrandao00,['bodinho-of-war']
108,erikcordeiro,['marknemesis']
109,zchronoz,['Bunlong']
110,carlosliracl,['RenatoFranca']
111,sandrocavalcanti,['marknemesis']
112,PauloAlves3486,['EduardoSampaio']
113,AlefRGamer,['pdsfilho']
114,leolsrd,['mazulo']
115,FernandaLandim,['henvic']
116,taurustech,['erickjung']
117,madsonmuller,['karolinenobrega']
118,petrusaugusto,['atailton']
119,anakcampelo,['PauloSMoreno']
120,marcelotheodoro,['MichalPaszkiewicz']
121,rafaelmotaalves,['lucasbarross']
122,staylward,['brunovpl']
123,hcaula,['joaolucasbig']
124,grfneto,['JhonattasFerreira']
125,aht360,['ovictoraurelio']
126,eduardoluiz7,['wba25']
127,claudiopacheco,['gabrieldluca']
128,KLEITONFREITAS,['gnuvinicius']
129,jimens,['abdelthioye']
130,rfccn,['Babival']
131,jalexc,['favasconcelos']
132,pedrohub,['douglas-queiroz']
133,netoffdf,['Jessica7']
134,brazsandro,['magnofaustino']
135,SoulFlybr,['svenssonjoel']
136,eduardascharnhorst,['hnka']
137,vandialves,['modcs']
138,filipeaguiar,['hitalos']
139,gtgsantos,['wilkiejunior']
140,flavindias,['rafaelgsm']
141,carlosmax,['opengiineer']
142,GabrielSDG,['djadrianodez']
143,RobsonPereira13,['rennanmoura1990']
144,batebit,['gtgsantos']
145,mcdsb,['gabrielachagas']
146,cafmf,['ErickSimoes']
147,marcuscarneiro,['renatolinsd']
148,joaovictortinoco,['marknemesis']
149,diegomarinho,['jnortiz']
150,deisesouza,['marknemesis']
151,wilberto-blaze,['tcostam']
152,juniorbrasil,['klebercode']
153,tamiresa,['haroldogtf']
154,Andre-dam,['renatoosousa']
155,thiagogalvao,['caiosm1005']
