User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
fernandocastor,48,7,55,6,0.01252,8,0.253469,37787.361925,0.751562
filipeximenes,40,32,72,0,0.014185,9,0.26770900000000003,40297.561868000004,1.0
simoneas02,37,26,63,9,0.011433,10,0.268627,40894.607104,0.211671
renatooliveira,35,28,63,0,0.01055,9,0.25861300000000004,26763.575801,0.9946719999999999
lailsonbm,29,1,30,0,0.013151,11,0.14968599999999999,1142.6582349999999,0.838433
marcelcaraciolo,28,12,40,0,0.004972,10,0.23220300000000002,12484.60924,0.687211
henvic,25,15,40,5,0.011470999999999999,8,0.248752,34297.005176,0.585929
guilhermefarias,25,12,37,4,0.00949,9,0.270617,34459.807070999996,0.451858
guiocavalcanti,24,25,49,0,0.007229999999999999,9,0.263208,24876.026009,0.52449
clovisdasilvaneto,24,5,29,5,0.008796,10,0.225144,8243.218318000001,0.291443
joselitojunior1,23,2,25,6,0.005161,9,0.219025,7591.265970999999,0.30229
arthuralvim,23,46,69,0,0.005947999999999999,9,0.28045,37270.801767000004,0.642351
gileno,23,15,38,0,0.005235,10,0.240879,4819.658485,0.6925359999999999
fjsj,20,26,46,0,0.0038729999999999997,9,0.260085,5794.569877,0.617564
talitaoliveira,20,24,44,5,0.00615,10,0.26499,32304.806376999997,0.226341
mairatma,19,1,20,5,0.005068,9,0.199273,4818.074791,0.305014
gvc,18,5,23,0,0.010609,9,0.2132300000000001,5483.161147999999,0.656756
luiztiago,18,17,35,4,0.006055,9,0.256075,16188.928313999999,0.46692799999999995
pauloborba,16,4,20,6,0.0066159999999999995,10,0.18451199999999998,3426.5438259999996,0.299173
dakerfp,15,1,16,0,0.004535,10,0.211338,1001.620039,0.506877
interaminense,15,29,44,5,0.0025570000000000002,9,0.267187,8663.450445,0.235529
victorlaerte,14,25,39,5,0.002961,9,0.26653699999999997,14957.144835,0.249115
thiagodiniz,14,7,21,0,0.004132,10,0.210931,1984.8553550000001,0.5075390000000001
